CERES - EBAFTOA42 Data
Parameter: Incoming Solar Flux (W m-2)
Time Range: March - 2023
Time Resolution: MON
Selected Region: [-90,0 to 90,360]
Valid Range: 0 - 800
Satellite: -

Latitude  Longitude  Data
-88.5     215.5     61.52
-88.5     216.5     61.52
-88.5     217.5     61.52
-88.5     218.5     61.52
-88.5     219.5     61.52
-88.5     220.5     61.5
-88.5     221.5     61.5
-88.5     222.5     61.5
-88.5     223.5     61.5
-88.5     224.5     61.5
-88.5     225.5     61.5
-88.5     226.5     61.5
-88.5     227.5     61.5
-88.5     228.5     61.48
-88.5     229.5     61.48
-88.5     230.5     61.48
-88.5     231.5     61.48
-88.5     232.5     61.48
-88.5     233.5     61.48
-88.5     234.5     61.48
-88.5     235.5     61.48
-88.5     236.5     61.46
-88.5     237.5     61.46
-88.5     238.5     61.46
-88.5     239.5     61.46
-88.5     240.5     61.46
-88.5     241.5     61.46
-88.5     242.5     61.46
-88.5     243.5     61.46
-88.5     244.5     61.45
-88.5     245.5     61.45
-88.5     246.5     61.45
-88.5     247.5     61.45
-88.5     248.5     61.45
-88.5     249.5     61.45
-88.5     250.5     61.45
-88.5     251.5     61.45
-88.5     252.5     61.44
-88.5     253.5     61.44
-88.5     254.5     61.44
-88.5     255.5     61.44
-88.5     256.5     61.44
-88.5     257.5     61.44
-88.5     258.5     61.44
-88.5     259.5     61.44
-88.5     260.5     61.43
-88.5     261.5     61.43
-88.5     262.5     61.43
-88.5     263.5     61.43
-88.5     264.5     61.43
-88.5     265.5     61.43
-88.5     266.5     61.43
-88.5     267.5     61.43
-88.5     268.5     61.43
-88.5     269.5     61.43
-88.5     270.5     61.43
-88.5     271.5     61.43
-88.5     272.5     61.43
-88.5     273.5     61.43
-88.5     274.5     61.43
-88.5     275.5     61.43
-88.5     276.5     61.43
-88.5     277.5     61.43
-88.5     278.5     61.43
-88.5     279.5     61.43
-88.5     280.5     61.43
-88.5     281.5     61.43
-88.5     282.5     61.43
-88.5     283.5     61.43
-88.5     284.5     61.43
-88.5     285.5     61.43
-88.5     286.5     61.43
-88.5     287.5     61.43
-88.5     288.5     61.43
-88.5     289.5     61.43
-88.5     290.5     61.43
-88.5     291.5     61.43
-88.5     292.5     61.44
-88.5     293.5     61.44
-88.5     294.5     61.44
-88.5     295.5     61.44
-88.5     296.5     61.44
-88.5     297.5     61.44
-88.5     298.5     61.44
-88.5     299.5     61.44
-88.5     300.5     61.45
-88.5     301.5     61.45
-88.5     302.5     61.45
-88.5     303.5     61.45
-88.5     304.5     61.45
-88.5     305.5     61.45
-88.5     306.5     61.45
-88.5     307.5     61.45
-88.5     308.5     61.46
-88.5     309.5     61.46
-88.5     310.5     61.46
-88.5     311.5     61.46
-88.5     312.5     61.46
-88.5     313.5     61.46
-88.5     314.5     61.46
-88.5     315.5     61.46
-88.5     316.5     61.48
-88.5     317.5     61.48
