CERES - EBAFTOA42 Data
Parameter: Incoming Solar Flux (W m-2)
Time Range: September - 2023
Time Resolution: MON
Selected Region: [-90,0 to 90,360]
Valid Range: 0 - 800
Satellite: -

Latitude  Longitude  Data
-89.5     317.5     9.368
-89.5     318.5     9.368
-89.5     319.5     9.368
-89.5     320.5     9.368
-89.5     321.5     9.368
-89.5     322.5     9.368
-89.5     323.5     9.368
-89.5     324.5     9.368
-89.5     325.5     9.368
-89.5     326.5     9.368
-89.5     327.5     9.368
-89.5     328.5     9.368
-89.5     329.5     9.368
-89.5     330.5     9.368
-89.5     331.5     9.368
-89.5     332.5     9.368
-89.5     333.5     9.368
-89.5     334.5     9.368
-89.5     335.5     9.368
-89.5     336.5     9.368
-89.5     337.5     9.368
-89.5     338.5     9.368
-89.5     339.5     9.368
-89.5     340.5     9.368
-89.5     341.5     9.368
-89.5     342.5     9.368
-89.5     343.5     9.368
-89.5     344.5     9.368
-89.5     345.5     9.368
-89.5     346.5     9.368
-89.5     347.5     9.368
-89.5     348.5     9.368
-89.5     349.5     9.368
-89.5     350.5     9.368
-89.5     351.5     9.368
-89.5     352.5     9.368
-89.5     353.5     9.368
-89.5     354.5     9.368
-89.5     355.5     9.368
-89.5     356.5     9.368
-89.5     357.5     9.368
-89.5     358.5     9.368
-89.5     359.5     9.368
-88.5     0.5     10.37
-88.5     1.5     10.37
-88.5     2.5     10.37
-88.5     3.5     10.37
-88.5     4.5     10.35
-88.5     5.5     10.35
-88.5     6.5     10.35
-88.5     7.5     10.35
-88.5     8.5     10.35
-88.5     9.5     10.35
-88.5     10.5     10.35
-88.5     11.5     10.35
-88.5     12.5     10.32
-88.5     13.5     10.32
-88.5     14.5     10.32
-88.5     15.5     10.32
-88.5     16.5     10.32
-88.5     17.5     10.32
-88.5     18.5     10.32
-88.5     19.5     10.32
-88.5     20.5     10.29
-88.5     21.5     10.29
-88.5     22.5     10.29
-88.5     23.5     10.29
-88.5     24.5     10.29
-88.5     25.5     10.29
-88.5     26.5     10.29
-88.5     27.5     10.29
-88.5     28.5     10.27
-88.5     29.5     10.27
-88.5     30.5     10.27
-88.5     31.5     10.27
-88.5     32.5     10.27
-88.5     33.5     10.27
-88.5     34.5     10.27
-88.5     35.5     10.27
-88.5     36.5     10.25
-88.5     37.5     10.25
-88.5     38.5     10.25
-88.5     39.5     10.25
-88.5     40.5     10.25
-88.5     41.5     10.25
-88.5     42.5     10.25
-88.5     43.5     10.25
-88.5     44.5     10.23
-88.5     45.5     10.23
-88.5     46.5     10.23
-88.5     47.5     10.23
-88.5     48.5     10.23
-88.5     49.5     10.23
-88.5     50.5     10.23
-88.5     51.5     10.23
-88.5     52.5     10.21
-88.5     53.5     10.21
-88.5     54.5     10.21
-88.5     55.5     10.21
-88.5     56.5     10.21
-88.5     57.5     10.21
-88.5     58.5     10.21
-88.5     59.5     10.21
-88.5     60.5     10.2
-88.5     61.5     10.2
-88.5     62.5     10.2
-88.5     63.5     10.2
-88.5     64.5     10.2
-88.5     65.5     10.2
-88.5     66.5     10.2
-88.5     67.5     10.2
-88.5     68.5     10.19
-88.5     69.5     10.19
-88.5     70.5     10.19
-88.5     71.5     10.19
-88.5     72.5     10.19
-88.5     73.5     10.19
-88.5     74.5     10.19
-88.5     75.5     10.19
-88.5     76.5     10.18
-88.5     77.5     10.18
-88.5     78.5     10.18
-88.5     79.5     10.18
-88.5     80.5     10.18
-88.5     81.5     10.18
-88.5     82.5     10.18
-88.5     83.5     10.18
-88.5     84.5     10.18
-88.5     85.5     10.18
